feature,coef,std_err,z,pvalue,ci_low,ci_high,odds_ratio,or_ci_low,or_ci_high,n,year,pseudo_r2
const,-1.8941776002102155,0.1771241714821022,-10.694066113961275,1.0850719717519192e-26,-2.2413345971066323,-1.5470206033137988,0.1504420076607388,0.1063165199344211,0.2128812877147815,922,2018,0.6316565263441072
mean_score,4.406880872770882,0.3188512412135966,13.821118763714448,1.9009234250690824e-43,3.78194392356634,5.031817821975425,82.01325436263629,43.90129961223732,153.2112705218317,922,2018,0.6316565263441072
score_std,0.1361798258016304,0.111037326469499,1.2264328593955998,0.2200358268702001,-0.0814493350182037,0.3538089866214646,1.1458879352850415,0.9217794106078894,1.424483065168366,922,2018,0.6316565263441072
mean_confidence,-0.0997886587694056,0.1254876253518256,-0.7952071647672934,0.4264930047430048,-0.3457398849644393,0.1461625674256281,0.9050286676981328,0.7076965456794083,1.1573843257481504,922,2018,0.6316565263441072
num_reviews,-0.0993690801160918,0.1097284158428785,-0.9055911301807148,0.3651523052724295,-0.3144328232487681,0.1156946630165843,0.9054084780823286,0.7302029109567424,1.1226530323047723,922,2018,0.6316565263441072
mean_sentiment,0.0078184784887938,0.1360378712845473,0.0574728082332318,0.9541685661816488,-0.2588108497624146,0.2744478067400023,1.007849122603122,0.7719690273598263,1.315803896181993,922,2018,0.6316565263441072
mean_politeness,0.1088203072982883,0.1405363978456913,0.7743211649538135,0.4387408905751211,-0.1666259709962591,0.3842665855928358,1.1149619818087884,0.8465161737328508,1.4685368802785563,922,2018,0.6316565263441072
mean_toxicity,0.2005284095724547,0.1380774471566296,1.4522893760121676,0.1464211602603201,-0.0700984139317719,0.4711552330766813,1.222048329617452,0.9323020638792812,1.6018436274900032,922,2018,0.6316565263441072
mean_constructiveness,0.1875513959344376,0.1431156809463182,1.3104880939272263,0.1900307693609697,-0.0929501843432713,0.4680529762121467,1.206292246344978,0.9112388931293922,1.5968819972057415,922,2018,0.6316565263441072
const,-1.517917241792406,0.1556164732669505,-9.754219523973608,1.7695654406348744e-22,-1.8229199247967691,-1.2129145587880428,0.2191678856325208,0.1615533379668299,0.2973294312401776,1000,2019,0.647166901770702
mean_score,4.411039247471594,0.3039734798386511,14.511263449077765,1.0280930471829024e-47,3.815262174732526,5.006816320210662,82.35500627849466,45.38865458155021,149.4282463681533,1000,2019,0.647166901770702
score_std,-0.0668983292128756,0.1144638497662741,-0.5844494078215665,0.5589179938240421,-0.2912433522865764,0.1574466938608251,0.9352902882027078,0.7473337905008628,1.1705183605039924,1000,2019,0.647166901770702
mean_confidence,-0.0821287007379449,0.1198629255699438,-0.6851885213666025,0.4932249662517085,-0.3170557179366401,0.1527983164607501,0.9211533979450082,0.7282901751693608,1.1650899757755402,1000,2019,0.647166901770702
num_reviews,-0.1745297468719887,0.1147791731481139,-1.520569821902892,0.1283678247232465,-0.3994927924175788,0.0504332986736013,0.8398518708915312,0.6706601236833275,1.051726709448821,1000,2019,0.647166901770702
mean_sentiment,0.0282231383814686,0.1349355489849465,0.2091601404802316,0.8343232274783632,-0.2362456778631668,0.2926919546261041,1.0286251845741503,0.7895866661371466,1.3400299368232036,1000,2019,0.647166901770702
mean_politeness,0.0059562570176646,0.1287608211832268,0.0462583025094945,0.9631043734858776,-0.2464103151212619,0.2583228291565912,1.0059740307873526,0.7816014562255639,1.2947567363877877,1000,2019,0.647166901770702
mean_toxicity,0.0973246736804402,0.1248112238751042,0.7797750126850035,0.4355233165879723,-0.1473008299811298,0.3419501773420103,1.1022181767653343,0.8630343117649485,1.407690160901479,1000,2019,0.647166901770702
mean_constructiveness,-0.1128065391081603,0.1365648249153924,-0.8260292441926288,0.4087875028115905,-0.3804686774973478,0.1548555992810271,0.8933234665543737,0.6835409738548397,1.167489362629191,1000,2019,0.647166901770702
const,-2.483884070105516,0.2004761913349414,-12.389920486645806,2.9633707633928645e-35,-2.8768101848797616,-2.090957955331269,0.0834185918912789,0.0563141082366626,0.1235687058006787,1000,2021,0.6165341759558846
mean_score,4.478524160041868,0.3248299545875004,13.787288077323772,3.039737428864096e-43,3.8418691479505855,5.11517917213315,88.10454846489759,46.61251875900147,166.5306159561366,1000,2021,0.6165341759558846
score_std,0.0953779488709454,0.114809377650584,0.8307505085623135,0.4061145865719515,-0.1296442964116571,0.3204001941535479,1.100074548499295,0.8784078281733653,1.377678993107842,1000,2021,0.6165341759558846
mean_confidence,0.1046520388866371,0.1154556237106496,0.906426517160498,0.3647101426607286,-0.1216368253988448,0.3309409031721191,1.1103241934880226,0.8854698902890605,1.3922775106925152,1000,2021,0.6165341759558846
num_reviews,0.1492811679653076,0.1204812415054746,1.2390407510743011,0.2153304069673717,-0.086857726198095,0.3854200621287104,1.1609993791548974,0.9168075240467204,1.470231780437883,1000,2021,0.6165341759558846
mean_sentiment,0.0335277668548114,0.1185580794461697,0.2827961368084949,0.777333115886545,-0.1988417989359196,0.2658973326455425,1.0340961569254894,0.8196795572543326,1.304601111866285,1000,2021,0.6165341759558846
mean_politeness,0.2675494379762335,0.1373675782905638,1.9476898501501227,0.0514520853193276,-0.0016860681167578,0.5367849440692247,1.3067582317215845,0.9983153524975596,1.71049866347347,1000,2021,0.6165341759558846
mean_toxicity,-0.1441928420292555,0.1160257470131299,-1.2427659010283127,0.2139541113779719,-0.3715991274543461,0.0832134433958349,0.8657207846080646,0.6896306411108816,1.0867737484737134,1000,2021,0.6165341759558846
mean_constructiveness,-0.2728578499225754,0.1313761336659827,-2.076920992486374,0.0378088518864419,-0.5303503403360218,-0.015365359509129,0.761200984717553,0.5883987937334777,0.9847520853304652,1000,2021,0.6165341759558846
const,-1.4393205979244252,0.143777078327624,-10.010779288786589,1.3667167867282157e-23,-1.7211184932489627,-1.1575227025998878,0.2370887825869253,0.1788659756004941,0.3142637421110238,1000,2022,0.6098587110832214
mean_score,4.37823636368784,0.3031883243223068,14.440649630800165,2.871230758476897e-47,3.7839981674830696,4.972474559892611,79.69735224194845,43.991576283306806,144.38373186430766,1000,2022,0.6098587110832214
score_std,0.0009436078664187,0.1039800314898602,0.0090748949860701,0.9927593807818303,-0.2028535089650479,0.2047407246978854,1.0009440532043854,0.8163978276289447,1.227206839286918,1000,2022,0.6098587110832214
mean_confidence,-0.1246958161313175,0.1139063265601814,-1.09472247852217,0.2736382376296561,-0.3479481138005313,0.0985564815378963,0.8827653847384238,0.7061355139520085,1.1035767343452716,1000,2022,0.6098587110832214
num_reviews,-0.0306865659684254,0.1162909438947491,-0.2638775208170879,0.791874297685252,-0.2586126277303018,0.1972394957934509,0.9697794873394564,0.7721220637962533,1.21803572020777,1000,2022,0.6098587110832214
mean_sentiment,0.0786739804669267,0.1184230196298424,0.6643470223343378,0.5064682317783367,-0.1534308729480444,0.3107788338818978,1.0818515598293583,0.8577600565734469,1.3644874094285817,1000,2022,0.6098587110832214
mean_politeness,-0.0082412556775656,0.1309708821340901,-0.0629243351138772,0.949826756621512,-0.2649394676838226,0.2484569563286914,0.9917926103732208,0.7672523921346043,1.2820456372306217,1000,2022,0.6098587110832214
mean_toxicity,0.0860852158498163,0.1056736486618699,0.814632757928783,0.4152825537135824,-0.121031329642388,0.2932017613420207,1.0898992010345885,0.8860062009006151,1.3407132672529467,1000,2022,0.6098587110832214
mean_constructiveness,-0.0325850199409593,0.124544831737005,-0.2616328553060107,0.7936045112085053,-0.2766884046060903,0.2115183647241717,0.967940152118297,0.7582907402043589,1.2355526560040753,1000,2022,0.6098587110832214
const,-1.6084051601299671,0.1631518655491276,-9.858331406242185,6.30890723119085e-23,-1.9281769406167784,-1.2886333796431555,0.2002066571552853,0.1454130536187918,0.2756472309176102,1000,2023,0.6490891665906825
mean_score,5.195700535717543,0.3720681320802887,13.964379337374588,2.571357273886655e-44,4.466460397045085,5.92494067439,180.4945413915418,87.04806149041332,374.2562317224131,1000,2023,0.6490891665906825
score_std,-0.0781210907637282,0.1062530961244913,-0.7352359000644813,0.4621958386739625,-0.2863733324136036,0.1301311508861471,0.9248524286757982,0.7509821976091089,1.1389777514709327,1000,2023,0.6490891665906825
mean_confidence,0.031982893068464,0.1203236966389891,0.2658071016918914,0.7903877735580495,-0.2038472188306778,0.2678130049676059,1.0324998422499263,0.8155869679996819,1.3071026954498106,1000,2023,0.6490891665906825
num_reviews,-0.1185636131812379,0.1223095945631738,-0.9693729556105996,0.3323591407809048,-0.3582860134887546,0.1211587871262787,0.8881953129302482,0.6988731592681103,1.1288041377027869,1000,2023,0.6490891665906825
mean_sentiment,-0.0579499501972962,0.1212405688083979,-0.4779749119197652,0.6326680615011122,-0.2955770985269064,0.1796771981323139,0.9436971781124224,0.74410204334011,1.1968309614899078,1000,2023,0.6490891665906825
mean_politeness,0.0940708106372957,0.1297419541159486,0.7250608431041968,0.4684147050806485,-0.1602187467138118,0.3483603679884033,1.0986375383871243,0.8519574056987866,1.416742706477584,1000,2023,0.6490891665906825
mean_toxicity,-0.0364396712641003,0.1170426615073888,-0.3113366595974059,0.7555447008107183,-0.2658390724732949,0.1929597299450943,0.9642162620899254,0.7665624785792037,1.2128339516458695,1000,2023,0.6490891665906825
mean_constructiveness,0.129048989970647,0.1324054248645761,0.9746503219383792,0.3297337429424467,-0.1304608741216464,0.3885588540629405,1.13774586093678,0.8776908327017,1.4748537820477885,1000,2023,0.6490891665906825
